analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean,shuffle_iter
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.6649387717200015,-0.7794228634059946,0.05,-0.0018055843523768827,0.046085714106996654,13
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.7657692097749689,-0.8284591346681658,,,,13
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,-0.6669105029094842,-0.6197797868009122,0.13333333333333333,-0.04400978536031331,0.05030480275012279,13
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,-0.514119227098092,-0.3708223816448394,,,,13
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,-0.03370553457692381,-0.12403473458920845,0.42857142857142855,0.02277982651364094,0.02630991853466521,13
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.47100055370677385,0.3421666902363703,,,,13
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.32309925921486793,-0.05634361698190111,0.4666666666666667,-0.0024897510708581086,0.06158834952131815,13
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,-0.27599833232747767,-0.31468531468531474,,,,13
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,0.11681666321919636,0.0774864834965024,0.5447368421052632,0.01829978982280771,0.004743263301941584,14
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,-0.10306095094101994,-0.06943219226356116,,,,14
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,0.005125639258646536,0.08660254037844387,0.55,0.02254945061312979,0.0223145514553707,14
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,0.0845674400339394,0.33473096350228926,,,,14
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,0.5829914075087798,0.50709255283711,0.8,0.09114683785845033,-0.023615863974434076,14
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,-0.10783393721903639,0.05471149893120582,,,,14
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,-0.17662246871354645,-0.1594732301861252,0.40816326530612246,-0.013006669769000933,0.0073352141174289325,14
