analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean
real,nsclc,full_marker_delta_prior_adjusted_ordinal_score,label_bin,14,0.49892218025118684,0.5323117462054054,0.7959183673469388,2.8214285714285716,2.2142857142857144
real,nsclc,full_marker_delta_prior_adjusted_ordinal_score,best_available_primary_orr,14,0.3890006624599927,0.5191043377542669,,,
real,nsclc,predicted_orr_soft_probability_pct,label_bin,14,0.18724881354504644,0.08859623899229176,0.5510204081632653,22.863238066733125,18.40712830354413
real,nsclc,predicted_orr_soft_probability_pct,best_available_primary_orr,14,0.4257410278622308,0.35541185243906853,,,
real,nsclc,atlas_prior_score,label_bin,14,0.4642070825485276,0.39513038984679977,0.7040816326530612,2.857142857142857,2.2857142857142856
real,nsclc,atlas_prior_score,best_available_primary_orr,14,0.27788277900838054,0.2067523585077978,,,
real,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.6422718049586575,-0.6197797868009122,0.13333333333333333,0.032415793201896005,0.21046676659090627
real,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,-0.3086466857902474,-0.39860139860139865,,,
real,ovarian,full_marker_score_mean_tanh_mean,label_bin,8,-0.6595837065957936,-0.6197797868009122,0.13333333333333333,0.03801964569817473,0.24895469627941055
real,ovarian,full_marker_score_mean_tanh_mean,best_available_primary_orr,12,-0.33492350195668563,-0.3636363636363637,,,
real,ovarian,full_marker_score_strict_coverage_mean,label_bin,8,-0.6251655460924777,-0.6197797868009122,0.13333333333333333,0.027538019658039776,0.1782867133359812
real,ovarian,full_marker_score_strict_coverage_mean,best_available_primary_orr,12,-0.28239080316966686,-0.39860139860139865,,,
