label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,control_family,variant,shuffle_iter
grid_covgate90_magm0005_tailm0020:gene_shuffle_0026,expected_orr_pct,44,0.027384791655547414,0.061930784477715245,-0.039641414759345794,0.07911126174834043,0.5527950310559007,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,26
signed_mag_tail_soft_primary:gene_shuffle_0027,expected_orr_pct,44,-0.08283811290513896,-0.07584226058046313,-0.18020206999698363,-0.22983222985637472,0.38509316770186336,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,27
signed_mag_tail_hard_reference:gene_shuffle_0027,expected_orr_pct,44,-0.07445231390336914,-0.018037774347392163,-0.14021023685348943,-0.16699913426226257,0.4161490683229814,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,27
grid_covgate90_magm0005_tailm0020:gene_shuffle_0027,expected_orr_pct,44,-0.0600677434783656,-0.053386172252169586,-0.1445383595697487,-0.1758861461268924,0.40165631469979296,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,27
signed_mag_tail_soft_primary:gene_shuffle_0028,expected_orr_pct,44,-0.18618067200978916,-0.1610765329460302,0.005383465192577585,0.01911213414893095,0.5072463768115942,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,28
signed_mag_tail_hard_reference:gene_shuffle_0028,expected_orr_pct,44,-0.2044694409150546,-0.2175421051913424,-0.048374936708305914,-0.12430499662315031,0.4803312629399586,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,28
grid_covgate90_magm0005_tailm0020:gene_shuffle_0028,expected_orr_pct,44,-0.17338153750635832,-0.1756235587184468,-0.014681599491804724,-0.04594858869196049,0.4927536231884058,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,28
signed_mag_tail_soft_primary:gene_shuffle_0029,expected_orr_pct,44,-0.32165352695210536,-0.3333811100562072,-0.3757803329111746,-0.4770586767569236,0.35610766045548653,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,29
signed_mag_tail_hard_reference:gene_shuffle_0029,expected_orr_pct,44,-0.30823912493480937,-0.3119454081967809,-0.3727565386243707,-0.415716788657884,0.3612836438923395,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,29
grid_covgate90_magm0005_tailm0020:gene_shuffle_0029,expected_orr_pct,44,-0.31538722441880584,-0.35195328373652535,-0.3750785233670727,-0.4770586767569236,0.33747412008281574,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,29
signed_mag_tail_soft_primary:gene_shuffle_0030,expected_orr_pct,44,-0.12784914900108119,-0.10239411344662155,-0.21885142546758063,-0.43865366512792014,0.40993788819875776,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,30
signed_mag_tail_hard_reference:gene_shuffle_0030,expected_orr_pct,44,-0.1149225078020921,-0.14813126908371238,-0.16799876819925774,-0.3162767922354329,0.4057971014492754,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,30
grid_covgate90_magm0005_tailm0020:gene_shuffle_0030,expected_orr_pct,44,-0.09169348383991749,-0.06503791619609549,-0.2209374724921991,-0.4221669161792999,0.422360248447205,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,30
signed_mag_tail_soft_primary:gene_shuffle_0031,expected_orr_pct,44,0.08253683151829902,0.1921478501298326,0.22943943726307386,0.2605479537959519,0.5921325051759835,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,31
signed_mag_tail_hard_reference:gene_shuffle_0031,expected_orr_pct,44,0.1287808370810617,0.22272550686576748,0.2514703873788858,0.329546051987588,0.6045548654244306,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,31
grid_covgate90_magm0005_tailm0020:gene_shuffle_0031,expected_orr_pct,44,0.19359091757461502,0.21170865662963545,0.2861972707817502,0.25359923958874075,0.5921325051759835,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,31
signed_mag_tail_soft_primary:gene_shuffle_0032,expected_orr_pct,44,-0.0021151232998512237,0.005790563656981358,0.22673844352917352,0.2723170186774854,0.556935817805383,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,32
signed_mag_tail_hard_reference:gene_shuffle_0032,expected_orr_pct,44,0.04265912285012877,-0.007875440269515985,0.2210814994022512,0.23254750551533615,0.5372670807453416,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,32
grid_covgate90_magm0005_tailm0020:gene_shuffle_0032,expected_orr_pct,44,0.05898064242122915,0.03439029879207221,0.23846778257388257,0.2775314273751703,0.5590062111801242,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,32
signed_mag_tail_soft_primary:gene_shuffle_0033,expected_orr_pct,44,-0.13914470878355376,-0.0899655865731006,-0.299610772846041,-0.3020255712302904,0.3995859213250518,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,33
signed_mag_tail_hard_reference:gene_shuffle_0033,expected_orr_pct,44,-0.08332098153398906,-0.049303216614276835,-0.29507102627415754,-0.3440438938112084,0.39337474120082816,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,33
grid_covgate90_magm0005_tailm0020:gene_shuffle_0033,expected_orr_pct,44,-0.09261752812456471,-0.0660971656455433,-0.2895246171190915,-0.28875761033622777,0.40993788819875776,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,33
signed_mag_tail_soft_primary:gene_shuffle_0034,expected_orr_pct,44,0.0037991448050890553,-0.05649330397054983,0.08398506970435878,0.0923865101874427,0.5341614906832298,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,34
signed_mag_tail_hard_reference:gene_shuffle_0034,expected_orr_pct,44,-0.1701743495373555,-0.15967407588703522,-0.007879155046306355,0.08249664082088604,0.531055900621118,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,34
grid_covgate90_magm0005_tailm0020:gene_shuffle_0034,expected_orr_pct,44,-0.00011206976975081107,-0.04950225760419428,0.08037607765419881,0.11486844057192482,0.5300207039337475,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,34
signed_mag_tail_soft_primary:gene_shuffle_0035,expected_orr_pct,44,-0.013422319885800234,0.04745437533526185,0.23502625995979784,0.3680085229978393,0.556935817805383,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,35
signed_mag_tail_hard_reference:gene_shuffle_0035,expected_orr_pct,44,-0.0499500671515306,-0.007436790460233276,0.24335172673759065,0.28026538533560746,0.5227743271221532,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,35
